like_counter,time,
4613432,1708786064.81428
4613481,1708786120.565852
4613481,1708786125.982591
4613489,1708786131.244855
4613489,1708786135.9185889
4613499,1708786144.038047
4613504,1708786148.905798
4613504,1708786154.345296
4613512,1708786158.86448
4613512,1708786165.983627
4613521,1708786170.864154
4613534,1708786178.445869
4613534,1708786182.9097018
4613544,1708786190.175484
4613544,1708786194.913671
4613557,1708786201.910486
4613570,1708786207.450909
4613570,1708786213.97185
4613584,1708786219.757495
4613584,1708786226.2054012
4613609,1708786238.79886
4613609,1708786242.235252
4613609,1708786245.1997921
4613618,1708786250.3366458
4613618,1708786253.295695
